School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
South Florida,0.5,-1.98,68.8,103.2,0.275,0.355,0.52,51.8,50.3,10.3,7.7,0.501,15.5,33.7,0.173,68.8,99.2,0.383,0.401,0.532,48.2,54.1,8.7,9,0.486,18.8,28.7,0.286,2022-2023
Southeast Missouri State,0.357,0.22,74,97,0.326,0.418,0.519,49.3,54.4,9.3,10,0.487,17.3,26.1,0.226,74,97.9,0.451,0.391,0.528,50.7,51.5,9.6,9,0.49,17.9,27,0.302,2022-2023
Southeastern Louisiana,0.462,1.37,72.1,107.8,0.295,0.38,0.558,48.8,48.8,11,5.4,0.53,15.5,28.1,0.214,72.1,104.8,0.379,0.476,0.564,51.2,61.9,8.5,7.9,0.539,18.3,29.8,0.252,2022-2023
Southern,0.308,5.15,76.2,96.3,0.264,0.388,0.529,45.2,57.7,12.6,6.5,0.505,18.2,22.5,0.181,76.2,99.3,0.477,0.432,0.569,54.8,67.1,8.9,10.2,0.524,22.2,28.8,0.348,2022-2023
Southern California,0.769,2.98,69.4,102.5,0.363,0.327,0.55,49,57,10.5,14.8,0.517,17.9,26.9,0.256,69.4,93.5,0.293,0.371,0.478,51,55.2,9.9,7.4,0.438,16.3,32,0.214,2022-2023
Southern Illinois,0.714,-2.54,66.3,102.2,0.287,0.5,0.576,50,60.8,11.7,5,0.55,19,22.1,0.21,66.3,92,0.296,0.345,0.491,50,47.8,10.2,9.8,0.468,17.7,26.4,0.186,2022-2023
SIU Edwardsville,0.714,-1.03,69.7,108.2,0.372,0.344,0.548,51.3,46.9,11.2,13.5,0.509,15.3,34.3,0.272,69.7,97.6,0.273,0.373,0.509,48.7,49.1,8.6,7.6,0.475,18.5,32.4,0.2,2022-2023
Southern Indiana,0.571,-2.81,71.7,106.1,0.316,0.414,0.554,52.7,53.4,12.9,7.4,0.532,17.5,32.2,0.21,71.7,98.7,0.368,0.442,0.536,47.3,47.9,9.4,10.9,0.497,18.3,26.3,0.264,2022-2023
Southern Methodist,0.385,2.86,69.9,96.6,0.279,0.318,0.502,49.1,45.7,8,9.9,0.469,15.6,26.4,0.199,69.9,99.6,0.288,0.353,0.507,50.9,55.3,8.8,10.3,0.477,14.8,29.2,0.198,2022-2023
Southern Mississippi,0.857,-3.34,70,111.5,0.292,0.364,0.552,54.3,53.7,13.9,9.6,0.53,14.5,35.5,0.197,70,86.7,0.298,0.414,0.487,45.7,51,9.2,6.9,0.452,21.8,27.1,0.207,2022-2023
Southern Utah,0.643,3.33,76.2,114,0.382,0.393,0.575,54,45.4,12.6,9,0.541,14.8,32,0.277,76.2,93.2,0.303,0.379,0.522,46,47.8,8.7,9.1,0.494,19.6,23.9,0.207,2022-2023
St. Bonaventure,0.462,-1.78,66.7,99.5,0.29,0.351,0.515,50.5,47.2,9.9,11.1,0.487,17,31.3,0.198,66.7,98.5,0.384,0.36,0.519,49.5,52.6,8.2,7.7,0.482,17,29.5,0.263,2022-2023
St. Francis (NY),0.5,-6.8,67.9,97.5,0.293,0.341,0.491,48.1,54,12.4,12.4,0.456,15.7,32,0.209,67.9,97.7,0.315,0.258,0.511,51.9,51.5,8,7.5,0.479,18.7,34.5,0.217,2022-2023
St. John's (NY),0.786,-1.68,73.9,106.6,0.265,0.296,0.531,54.6,53.4,12.4,10.8,0.505,15.3,35.1,0.185,73.9,93.2,0.256,0.378,0.503,45.4,53.8,9.3,4.3,0.477,18,25.8,0.175,2022-2023
St. Thomas,0.688,-4.51,66.7,116.2,0.32,0.416,0.597,49.2,48.8,8.9,6,0.563,13.6,25.3,0.25,66.7,104.7,0.272,0.385,0.551,50.8,48.3,6.6,11.8,0.521,16.1,28.2,0.203,2022-2023
Stanford,0.385,7.05,68.2,100.2,0.332,0.409,0.536,52.8,55.4,10.3,12.1,0.499,18.6,30.3,0.243,68.2,94.6,0.275,0.365,0.518,47.2,51.3,9.9,8.5,0.487,18.2,24.1,0.197,2022-2023
Stephen F. Austin,0.643,-3.51,72.1,108.2,0.372,0.309,0.583,52.8,60.1,13.5,7.5,0.549,20,35.2,0.273,72.1,91.7,0.395,0.383,0.536,47.2,61.8,9.6,6.8,0.499,24.4,29.9,0.275,2022-2023
Stetson,0.455,2.11,64.7,113.8,0.208,0.436,0.561,50.6,53.9,8.8,9.6,0.543,13.9,35.1,0.146,64.7,108.9,0.266,0.357,0.535,49.4,52.5,7.5,6.4,0.504,14.4,34.3,0.198,2022-2023
Stonehill,0.333,-2.34,71.3,98.5,0.304,0.417,0.556,45.1,49.6,10.9,8.8,0.518,18,18.7,0.237,71.3,106.5,0.309,0.41,0.551,54.9,53.4,10.4,10.1,0.526,16.7,31.1,0.213,2022-2023
Stony Brook,0.308,-1.42,65.8,96.7,0.337,0.481,0.527,49.8,55.2,7.6,8.4,0.49,18,23.4,0.243,65.8,106.2,0.213,0.49,0.532,50.2,59.8,11.7,7.7,0.508,12.5,25.9,0.156,2022-2023
Syracuse,0.615,-0.91,68.2,108.4,0.287,0.292,0.543,49.1,51.6,11.5,17.9,0.511,13.9,31.4,0.21,68.2,99.9,0.226,0.488,0.498,50.9,68.9,9.1,5,0.477,16.7,35.4,0.149,2022-2023
Tarleton State,0.538,4.45,70.6,106.5,0.484,0.261,0.548,48.7,54.5,16.2,8.9,0.514,15.4,31.2,0.32,70.6,95.3,0.427,0.416,0.556,51.3,55.9,7.8,10.3,0.517,25.1,32.1,0.304,2022-2023
TCU,0.917,-4.78,71.8,110,0.362,0.314,0.539,53.7,60.9,11.9,13.3,0.504,13.3,36.4,0.254,71.8,85.3,0.282,0.335,0.462,46.3,52,9,10.3,0.433,20.6,29.7,0.181,2022-2023
Temple,0.5,1.96,66.9,101,0.341,0.432,0.539,48.4,56.2,7.3,9.9,0.499,17.5,27.1,0.255,66.9,100.9,0.298,0.309,0.508,51.6,51.1,11,8.7,0.476,14.9,31.8,0.209,2022-2023
Tennessee,0.846,4.19,68.6,106.6,0.392,0.411,0.527,55.7,69.2,15.4,13.5,0.485,16.5,39.5,0.28,68.6,76.9,0.329,0.423,0.432,44.3,47,10.4,10,0.377,22.8,27.8,0.246,2022-2023
Tennessee State,0.571,-6.47,72.3,110.4,0.363,0.405,0.564,50.5,50.6,8.4,9.8,0.531,14.3,28.5,0.26,72.3,103.2,0.325,0.408,0.559,49.5,49.6,8.4,6,0.527,18.2,27.1,0.239,2022-2023
Tennessee Tech,0.286,1.32,69.3,99.6,0.226,0.383,0.518,49.9,54.7,9.8,5.8,0.495,16.9,29.9,0.157,69.3,102.6,0.237,0.425,0.533,50.1,62.1,11.8,8.4,0.501,16.5,29.7,0.183,2022-2023
Tennessee-Martin,0.571,-4.49,74.5,112,0.311,0.401,0.56,52.1,53.4,11.9,9.6,0.534,13.9,32.8,0.218,74.5,99.3,0.349,0.375,0.516,47.9,53.9,8.6,10.6,0.49,17,29.4,0.223,2022-2023
Texas,0.917,-0.32,70.8,115.8,0.273,0.363,0.581,52.7,60.3,11.2,11.9,0.561,13.9,31.7,0.189,70.8,85.9,0.319,0.355,0.486,47.3,47.4,7.1,7.8,0.453,21.9,26.8,0.213,2022-2023
Texas A&M,0.583,0.36,68.9,108.7,0.471,0.369,0.548,52.8,56.9,12.3,9.8,0.499,15.5,35.9,0.344,68.9,100,0.422,0.47,0.539,47.2,62.2,10.4,7.8,0.495,19.7,30.2,0.306,2022-2023
Texas A&M-Commerce,0.286,-1.82,68.3,99.8,0.222,0.477,0.523,49.5,51.8,9.2,9.3,0.503,16.7,28,0.151,68.3,105.2,0.394,0.39,0.563,50.5,53.2,9.4,10.1,0.524,17.1,27.4,0.289,2022-2023
Texas A&M-Corpus Christi,0.538,-0.66,74.5,106.2,0.285,0.374,0.537,50.6,56.1,13.7,6.3,0.501,15.6,32.6,0.217,74.5,98.5,0.338,0.464,0.553,49.4,63.6,9.3,10,0.536,21.5,29.7,0.212,2022-2023
Texas Southern,0.308,8.24,71,93.1,0.268,0.28,0.466,50.5,44.8,9.3,9.6,0.444,15.8,32.6,0.163,71,100.6,0.283,0.39,0.531,49.5,51.6,10.1,8.5,0.501,17.1,29.1,0.204,2022-2023
Texas State,0.5,-2.79,66.8,99.9,0.349,0.299,0.512,49.8,43,10.8,12.1,0.474,15.6,30.1,0.247,66.8,99.1,0.394,0.342,0.536,50.2,49.2,9.3,7.5,0.491,18.5,28.6,0.291,2022-2023
Texas Tech,0.833,-3.36,71.6,114.1,0.42,0.363,0.608,55.1,56.3,13,9.6,0.577,17.2,32.6,0.304,71.6,87.1,0.266,0.415,0.49,44.9,50.4,9.8,9.6,0.46,21.5,25.5,0.185,2022-2023
Texas-Rio Grande Valley,0.615,-3.38,76.6,108.1,0.479,0.316,0.587,53.4,57.2,6.7,9.9,0.556,19.2,31.7,0.329,76.6,103,0.341,0.396,0.54,46.6,66.6,10.7,9,0.502,16.1,27.7,0.249,2022-2023
The Citadel,0.462,-2.09,70.6,101.1,0.274,0.411,0.538,47.9,50,7.3,6.9,0.502,16,23.7,0.213,70.6,104.8,0.338,0.422,0.519,52.1,54.1,10.3,11.4,0.481,13.7,30.8,0.242,2022-2023
Toledo,0.692,-0.66,73.5,115.6,0.309,0.337,0.579,51.6,48.9,9.9,7.8,0.547,13.4,33,0.233,73.5,108.1,0.279,0.368,0.559,48.4,50.3,8.2,8.2,0.526,15.9,30,0.214,2022-2023
