School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTsper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Weber State,0.429,1.61,67.6,99.8,0.344,0.406,0.555,48.9,49.1,8.2,5.4,0.506,18.2,21.4,0.279,67.6,101.9,0.297,0.391,0.558,51.1,58.4,8.9,11.3,0.538,17.6,23.6,0.198,2022-2023
West Virginia,0.833,2.51,70.5,115.4,0.372,0.347,0.592,52.7,52.5,10.9,7.6,0.558,15,32.9,0.275,70.5,94,0.381,0.369,0.523,47.3,52.2,8,7.2,0.483,21,28.6,0.271,2022-2023
Western Carolina,0.5,-5.6,70.8,106.6,0.34,0.455,0.536,53.2,53.8,8.7,6,0.501,14.3,30.9,0.243,70.8,96,0.322,0.248,0.509,46.8,42.5,8.8,10,0.473,15.9,23.8,0.228,2022-2023
Western Illinois,0.615,-4.38,71.7,107,0.357,0.372,0.562,50.1,53.8,9,9.8,0.528,14.7,25.1,0.257,71.7,99.2,0.271,0.323,0.521,49.9,36,8.2,7.3,0.492,16.2,26.3,0.191,2022-2023
Western Kentucky,0.667,-5.48,70.1,108.3,0.299,0.37,0.563,49.5,56.6,9,16.5,0.541,14.7,26.4,0.203,70.1,96.6,0.225,0.416,0.497,50.5,47.3,6.7,5.6,0.469,16.4,29.7,0.163,2022-2023
Western Michigan,0.333,-2.79,66,103.9,0.21,0.403,0.527,57.3,50.2,7.4,7.2,0.507,17.8,37.6,0.145,66,102.4,0.271,0.399,0.535,42.7,57.8,10.2,8.7,0.518,14.2,22.4,0.173,2022-2023
Wichita State,0.538,1.87,65.7,97.2,0.274,0.403,0.508,50.9,42.9,8.5,11,0.48,16.1,27.6,0.189,65.7,90,0.233,0.389,0.45,49.1,54.6,10.2,7.6,0.417,14.9,29.1,0.166,2022-2023
William & Mary,0.385,1.34,65.3,106.8,0.333,0.356,0.528,52.1,53.4,11.2,6.3,0.501,15,34.4,0.221,65.3,105.1,0.276,0.386,0.547,47.9,54.2,8.5,14,0.517,16,28.9,0.202,2022-2023
Winthrop,0.357,0.17,70.5,105,0.387,0.436,0.578,47.8,46.6,8.3,9.9,0.539,19.3,27.8,0.291,70.5,108.1,0.262,0.395,0.537,52.2,53.5,12.2,15.2,0.522,15.2,35.2,0.165,2022-2023
Wisconsin,0.818,5.44,64.7,102,0.276,0.403,0.526,49.1,53.6,12,5.5,0.498,13.7,22.9,0.193,64.7,90.9,0.279,0.391,0.496,50.9,44.5,8.3,10.1,0.471,18,24.1,0.181,2022-2023
Wofford,0.571,-2.1,67.8,112.3,0.283,0.412,0.568,55,46.5,8.6,5.5,0.537,14,32.6,0.214,67.8,99.7,0.2,0.384,0.537,45,42.3,8.2,10.9,0.517,16,23.1,0.142,2022-2023
Wright State,0.5,-3.17,72.4,105.7,0.208,0.246,0.56,51.8,50.3,9.8,7.6,0.543,15.8,27.1,0.144,72.4,98.1,0.239,0.406,0.538,48.2,46.6,10.5,5.5,0.514,18.4,24.3,0.17,2022-2023
Wyoming,0.385,1.37,66.1,105.6,0.342,0.494,0.558,50.6,50,7.7,5.5,0.53,15.8,25.8,0.238,66.1,102.5,0.233,0.408,0.544,49.4,45.4,8.6,12.3,0.514,16.2,25,0.18,2022-2023
Xavier,0.786,6,74.5,112.5,0.34,0.309,0.595,54.7,68.6,9.8,10.5,0.569,16.7,31.4,0.244,74.5,99.2,0.303,0.314,0.526,45.3,53.8,11.6,8.7,0.499,16.3,25.2,0.206,2022-2023
Yale,0.769,-3.19,66.3,114.2,0.223,0.396,0.571,57.6,53.9,10.1,12.1,0.552,15.1,35.4,0.159,66.3,84.4,0.309,0.349,0.458,42.4,48.5,9,6.7,0.427,17.6,22.9,0.196,2022-2023
Youngstown State,0.714,-4.13,71.3,117,0.302,0.337,0.598,53.3,47,10.3,7.1,0.566,15.7,34.1,0.237,71.3,100.7,0.231,0.335,0.535,46.7,49.2,8.7,5.2,0.514,17.1,29.1,0.159,2022-2023
