School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Boston College,0.394,5.22,65.5,100.7,0.296,0.324,0.511,50.9,50.2,10.8,8.6,0.478,15.4,30,0.208,65.5,102.5,0.315,0.367,0.55,49.1,50.6,10.1,10.1,0.515,16.7,25.8,0.234,2021-22
Boston University,0.629,-7.34,65.3,106.9,0.29,0.378,0.552,53.4,43,8.5,6.6,0.521,15.9,31.1,0.214,65.3,102.5,0.285,0.332,0.537,46.6,47.8,10.6,10.9,0.506,15,24.4,0.208,2021-22
Bowling Green State,0.419,-4.44,74.4,107.1,0.315,0.371,0.535,50.3,44.3,9.8,9.4,0.498,14.1,30.7,0.233,74.4,107.4,0.292,0.431,0.555,49.7,50.6,8.4,6.4,0.523,15.4,29.1,0.218,2021-22
Bradley,0.548,1.19,68.1,103.2,0.279,0.397,0.536,54.9,52.4,9.3,13.1,0.511,17.1,32.1,0.192,68.1,95.4,0.31,0.377,0.506,45.1,43.8,10.8,6.4,0.466,16.1,23,0.23,2021-22
Brigham Young,0.686,5.23,69.1,106.7,0.265,0.377,0.549,54.8,53.4,6.9,8.6,0.524,15.7,30.8,0.19,69.1,98.2,0.307,0.375,0.508,45.2,48.5,8.8,7.7,0.477,13.7,22.5,0.21,2021-22
Brown,0.448,-1.91,69.7,101.8,0.308,0.393,0.529,50.7,47.9,9.6,11.1,0.497,16.4,29.4,0.218,69.7,99.7,0.328,0.379,0.536,49.3,46.2,9.1,7,0.505,17.9,27.2,0.228,2021-22
Bryant NCAA,0.688,-7.41,73,106.1,0.322,0.431,0.538,51.8,50.5,8.8,10.1,0.502,16.1,33.1,0.236,73,99.7,0.25,0.336,0.495,48.2,54.9,9.9,12.1,0.468,14.1,31.2,0.172,2021-22
Bucknell,0.281,-6.37,68.3,101.8,0.283,0.376,0.561,47.1,57.6,6.6,7.9,0.528,17.5,21.4,0.217,68.3,113.6,0.229,0.383,0.562,52.9,53.1,12.1,8.3,0.538,11.9,29.8,0.172,2021-22
Buffalo,0.633,-3.21,72.5,110.3,0.26,0.381,0.545,55,50.6,9.8,10.8,0.52,15.3,37.2,0.184,72.5,99.7,0.287,0.324,0.506,45,43.3,8.5,8.3,0.474,14.5,27.7,0.202,2021-22
Butler,0.424,9.16,64.9,97.2,0.304,0.417,0.512,49.1,48.5,7.9,7,0.48,16.1,26.7,0.211,64.9,101.9,0.295,0.378,0.524,50.9,49.5,8.6,13.5,0.493,15,27.7,0.21,2021-22
Cal Poly,0.25,-3.3,65.5,92.5,0.368,0.35,0.505,51.3,49.7,7.1,7,0.46,19.5,27.9,0.268,65.5,101.3,0.365,0.362,0.525,48.7,49.4,9.4,7.4,0.479,15.4,26.5,0.273,2021-22
Cal State Bakersfield,0.321,-2.01,65.6,98.9,0.303,0.231,0.492,52.8,40.9,9.4,8.4,0.456,15.1,33.6,0.214,65.6,101.1,0.47,0.416,0.558,47.2,53,8.3,5.1,0.509,18.9,25.2,0.347,2021-22
Cal State Fullerton NCAA,0.656,-2.28,67.2,104.1,0.351,0.3,0.539,51.1,45.5,10.8,5.7,0.494,15.7,29.7,0.269,67.2,99,0.257,0.375,0.535,48.9,54.7,9.2,8.6,0.511,18.3,27.5,0.18,2021-22
Cal State Northridge,0.233,-1.41,65.7,92.5,0.293,0.302,0.481,46,40.6,10.8,7.5,0.448,16.1,27,0.2,65.7,107.1,0.345,0.384,0.556,54,57.8,8.4,6.8,0.515,17,32.5,0.263,2021-22
California,0.375,6.96,64.9,96.4,0.253,0.316,0.501,50.9,45.2,7.4,7.2,0.469,15.1,25.3,0.184,64.9,101,0.315,0.351,0.517,49.1,42,8.9,8.8,0.475,13.1,23.4,0.239,2021-22
California Baptist,0.529,-3.34,69.3,101.6,0.366,0.43,0.539,51.8,65.1,7.4,7.1,0.509,17.5,28.7,0.246,69.3,96.6,0.324,0.332,0.501,48.2,52,9,6.5,0.468,15.5,26.3,0.222,2021-22
Campbell,0.552,-5.76,63.9,102.7,0.275,0.369,0.542,49.7,56,9.6,7,0.519,14.6,22.2,0.187,63.9,96.2,0.268,0.389,0.516,50.3,46.1,9.2,8.5,0.494,16.8,24.2,0.175,2021-22
Canisius,0.344,-2.25,69.6,97.6,0.299,0.397,0.494,49.3,53.5,8.6,6.6,0.461,14.6,28.5,0.207,69.6,101.9,0.315,0.319,0.542,50.7,49.5,7.4,12,0.508,16.4,26.1,0.229,2021-22
Central Arkansas,0.355,-1.7,73,99.4,0.227,0.352,0.523,48.6,51.5,9.2,8,0.493,16.3,27.4,0.172,73,110.2,0.299,0.368,0.564,51.4,52.7,10.4,8.3,0.537,14.7,29.5,0.216,2021-22
Central Connecticut State,0.25,-7.09,66.2,92.2,0.291,0.392,0.495,46.6,49.3,9.3,6.3,0.46,18.1,26.3,0.206,66.2,107.6,0.288,0.393,0.555,53.4,52.7,10.5,11.2,0.529,16.3,31.8,0.205,2021-22
Central Florida,0.6,4.63,68.1,102.2,0.285,0.431,0.528,49.7,58.8,10.2,10.9,0.499,16.5,30.8,0.201,68.1,99.9,0.298,0.413,0.523,50.3,55,10.4,10,0.487,17.8,30.8,0.219,2021-22
