School,WLper,SOS,Pace,ORtg,FTr,3PAr,Tsper,TRBper,ASTper,STLper,BLKper,eFGper,TOVper,ORBper,FTperFGA,oPace,oORtg,oFTr,o3PAr,oTSper,oTRBper,oASTper,oSTLper,oBLKper,oeFGper,oTOVper,oORBper,oFTperFGA,Year
Tennessee-Martin,0.267,-3.02,70.6,97.6,0.263,0.373,0.5,49.5,46.3,9.4,12.2,0.471,16.2,30.5,0.184,70.6,104.2,0.363,0.388,0.535,50.5,55.5,9.7,12.8,0.497,15.8,30.5,0.261,2021-22
Texas NCAA,0.647,8.87,64.5,105.9,0.32,0.361,0.538,50.8,54.1,11.8,10.1,0.501,15.3,31.5,0.239,64.5,93.3,0.391,0.335,0.509,49.2,44.1,8.9,9.2,0.47,20,29.6,0.266,2021-22
Texas A&M,0.675,7.42,68.6,104.7,0.353,0.342,0.533,50.5,52.3,14.3,9.9,0.499,16.1,34.3,0.249,68.6,95.2,0.328,0.383,0.513,49.5,64.4,10.4,12.2,0.475,20.8,33.2,0.235,2021-22
Texas A&M-Corpus Christi NCAA,0.657,-9.1,72.3,105.5,0.364,0.313,0.537,53,56,11.7,5.6,0.495,16.5,34.6,0.269,72.3,96.6,0.393,0.434,0.532,47,55.3,8.9,10,0.484,20,27.8,0.296,2021-22
Texas Southern NCAA,0.594,-6.24,69.7,98.6,0.336,0.309,0.514,53.2,42.7,7.9,13.6,0.482,18.2,33,0.228,69.7,94.4,0.334,0.355,0.484,46.8,48.5,11.5,6.3,0.453,15.1,27.9,0.216,2021-22
Texas State,0.724,-2.86,65.6,107,0.318,0.306,0.555,51.9,47.9,9.8,11.1,0.52,16.3,31.6,0.239,65.6,96.1,0.339,0.389,0.522,48.1,53.6,8.7,7.3,0.486,19.6,28.4,0.241,2021-22
Texas Tech NCAA,0.73,8.65,67.3,106,0.351,0.341,0.556,54.6,52.2,11.8,12,0.526,17.2,33.2,0.245,67.3,89.2,0.319,0.454,0.493,45.4,53.6,9.9,7.3,0.458,20.4,25.9,0.22,2021-22
Texas-Rio Grande Valley,0.258,-1.28,73.2,97.5,0.416,0.374,0.536,47.2,49.9,7.1,8.5,0.498,18.8,25.1,0.289,73.2,107.5,0.36,0.393,0.542,52.8,60.6,9.5,9.4,0.509,15.4,32.7,0.25,2021-22
The Citadel,0.419,-1.97,71,106,0.295,0.498,0.554,49.5,59.7,6.5,9.1,0.533,14.9,25.4,0.198,71,106.1,0.256,0.396,0.526,50.5,48.9,9.5,9.6,0.495,12.4,27.4,0.189,2021-22
Toledo,0.765,-3.22,70.3,113.7,0.28,0.313,0.565,53.2,51,7.9,7.5,0.535,12.6,30.3,0.211,70.3,97.7,0.227,0.414,0.491,46.8,49.8,7.3,10.8,0.468,13.6,26.8,0.152,2021-22
Towson,0.735,-2.15,66.2,109.7,0.339,0.382,0.549,54.5,52.6,10.9,8.5,0.516,15.2,35.2,0.243,66.2,96.7,0.319,0.414,0.516,45.5,45.9,7.1,8.8,0.479,17.1,26.2,0.229,2021-22
Troy,0.625,-3.52,69.1,99.3,0.329,0.405,0.528,52.5,57.3,11.3,6.3,0.491,19,31.6,0.24,69.1,94.2,0.325,0.371,0.51,47.5,51.4,11.8,10.6,0.475,18.8,26.7,0.229,2021-22
Tulane,0.483,5.33,69.3,104.1,0.334,0.386,0.551,44.7,53.4,11.3,10,0.512,13.7,19.9,0.252,69.3,102.1,0.285,0.453,0.526,55.3,65.3,7.4,12.5,0.496,17.3,32.7,0.203,2021-22
Tulsa,0.355,4.07,67.3,100.1,0.31,0.361,0.53,48.4,49,10.2,7.2,0.496,16.8,26.7,0.225,67.3,103.8,0.29,0.447,0.547,51.6,54.7,10.6,10.9,0.522,17.5,30.1,0.2,2021-22
UAB NCAA,0.771,-0.14,70.4,112.9,0.284,0.332,0.56,53.1,43.8,13.4,11.6,0.53,13.8,33.7,0.21,70.4,93.8,0.303,0.373,0.511,46.9,46.8,7.7,8.5,0.477,19.5,27.6,0.214,2021-22
UC Davis,0.542,-4.29,67.9,99.3,0.291,0.321,0.524,49.3,45.3,8.8,7.8,0.493,16.2,26,0.205,67.9,97.2,0.358,0.337,0.511,50.7,47.1,8.6,5.9,0.472,17,28.5,0.252,2021-22
UC Irvine,0.6,-0.93,66.1,100.3,0.296,0.282,0.527,53,44.8,9.1,9.4,0.488,17.7,30.7,0.227,66.1,91.3,0.301,0.323,0.474,47,48.1,9.3,6.6,0.432,15.6,26.7,0.218,2021-22
UC Riverside,0.571,-1.89,66.1,99.5,0.268,0.407,0.536,52.1,54.6,7.8,3.3,0.507,16.5,24.1,0.193,66.1,95.1,0.273,0.298,0.495,47.9,48.1,8.2,7.6,0.461,14.4,22.2,0.196,2021-22
UC San Diego,0.448,-3.78,68.5,102,0.321,0.456,0.562,46.4,56.7,8.4,4.6,0.528,16.7,18.5,0.24,68.5,102.5,0.216,0.33,0.538,53.6,46.9,8.9,8.9,0.516,15.6,27.1,0.154,2021-22
UC Santa Barbara,0.607,-4.39,67,107.8,0.374,0.3,0.574,53.2,58,9.1,7.7,0.544,17.1,29.3,0.265,67,96,0.296,0.331,0.51,46.8,51.4,9.2,6.5,0.473,16.7,25.6,0.217,2021-22
UCLA NCAA,0.771,8.36,66.5,111.4,0.294,0.312,0.539,52.5,50.3,10.3,9.6,0.505,11.3,31.4,0.218,66.5,95.3,0.283,0.381,0.51,47.5,50.2,6.6,7.5,0.476,17.2,25.3,0.205,2021-22
UNC Asheville,0.531,-5.28,68,108.3,0.368,0.398,0.565,48.7,49,9.3,12.2,0.53,15.6,27.7,0.267,68,98.9,0.264,0.327,0.51,51.3,46.9,9.3,8.6,0.485,16.7,31.9,0.176,2021-22
UNC Greensboro,0.531,-1.99,63.2,101.9,0.278,0.393,0.528,54,51.5,10,5.8,0.498,17.4,33.3,0.2,63.2,101.7,0.282,0.483,0.539,46,56.3,10.8,7.9,0.503,16.5,25.1,0.216,2021-22
UNC Wilmington,0.75,-2.84,66.7,105.8,0.336,0.362,0.526,47.5,42.4,11.2,10.7,0.485,12.8,28,0.249,66.7,101.2,0.334,0.328,0.53,52.5,40.8,6.5,7.7,0.498,17.2,31.6,0.231,2021-22
UT Arlington,0.379,-0.94,66.5,97.6,0.288,0.346,0.505,50.1,57,11.4,12.2,0.473,17.4,31.6,0.202,66.5,99.8,0.312,0.398,0.517,49.9,65.1,10.2,7.9,0.483,17.2,31.6,0.22,2021-22
Utah,0.355,6.61,67.2,102.9,0.3,0.394,0.526,50.2,55.5,6.8,7.5,0.484,15.6,29.3,0.232,67.2,104.6,0.286,0.351,0.523,49.8,50.5,9.2,10.4,0.494,13.2,29.2,0.201,2021-22
Utah State,0.529,4.53,67.3,107.5,0.287,0.402,0.571,53,66.6,9,6.2,0.545,16.2,26.3,0.207,67.3,97.9,0.286,0.387,0.525,47,55.1,9.1,8.9,0.495,16.3,22.5,0.203,2021-22
Utah Tech,0.419,-0.53,73.9,97.7,0.346,0.374,0.517,50.4,60.3,9,6.3,0.485,17.7,28.3,0.235,73.9,99.8,0.29,0.383,0.522,49.6,53.8,11.1,10.9,0.494,16.2,27.5,0.201,2021-22
Utah Valley,0.625,-1.6,68.2,102.5,0.382,0.313,0.549,55.8,59.5,7.9,11.8,0.512,19.2,32.8,0.272,68.2,93.7,0.274,0.374,0.478,44.2,51.2,11.1,8.4,0.447,14.1,24.9,0.186,2021-22
UTEP,0.588,-0.48,67.9,101.1,0.277,0.38,0.533,47.1,49,10.9,9.9,0.497,15.2,23.5,0.212,67.9,97.3,0.378,0.335,0.524,52.9,50.1,8.2,6.1,0.497,18.7,28.9,0.242,2021-22
UTSA,0.313,-1.49,70,95.7,0.265,0.338,0.476,50.9,46,8.1,7.2,0.445,15.2,31,0.181,70,102.8,0.319,0.387,0.545,49.1,56.7,9.7,9.1,0.526,15.8,25.5,0.205,2021-22
Valparaiso,0.438,0.83,67.4,101.8,0.262,0.38,0.553,49.2,47.8,9.2,8,0.523,14.7,16.9,0.199,67.4,101.5,0.222,0.365,0.545,50.8,50.4,8.4,8.6,0.52,15,20.1,0.165,2021-22
Vanderbilt,0.528,8.05,68.9,102,0.387,0.456,0.538,49.6,49.8,10.4,10,0.502,16.6,27.5,0.27,68.9,97.8,0.349,0.389,0.525,50.4,55.3,9.2,12.6,0.485,18.2,27.7,0.254,2021-22
Vermont NCAA,0.824,-5.7,65.1,114.4,0.265,0.43,0.594,54.7,55,7.8,7.2,0.57,13.2,24.3,0.197,65.1,92.9,0.228,0.376,0.5,45.3,43.8,7.4,8.8,0.475,15.4,18.6,0.158,2021-22
Villanova NCAA,0.789,10.29,63.6,112.5,0.298,0.463,0.56,51.5,48.9,9.4,6.8,0.515,13.4,31.2,0.247,63.6,98.3,0.25,0.422,0.505,48.5,49.9,7.4,11.2,0.473,15.9,28.9,0.183,2021-22
Virginia,0.6,6.6,59.9,103.7,0.281,0.299,0.529,49.9,60.3,9.5,12.9,0.497,14.1,27.8,0.205,59.9,99.9,0.233,0.375,0.514,50.1,51.9,9.1,9.8,0.488,15.8,28.8,0.166,2021-22
Virginia Commonwealth,0.688,5.17,68.6,97.4,0.309,0.302,0.543,48.6,56.1,13.3,14.7,0.514,19.6,26.6,0.218,68.6,90.6,0.383,0.359,0.491,51.4,53.9,11.3,7.1,0.444,21.1,32,0.271,2021-22
VMI,0.5,-2.05,69.2,112.9,0.25,0.55,0.593,49.7,58.3,6.9,8,0.564,14.8,24.4,0.198,69.2,106,0.245,0.466,0.524,50.3,47.3,9.9,11.3,0.494,12.8,28.4,0.182,2021-22
Virginia Tech NCAA,0.639,6.48,63.6,111,0.245,0.411,0.576,51.4,55.2,8.4,9.3,0.551,15,27.9,0.184,63.6,98.4,0.256,0.369,0.521,48.6,51,9.9,9.3,0.489,16.5,26.2,0.191,2021-22
Wagner,0.778,-9.01,68.3,107,0.323,0.3,0.54,53.6,52.6,12,8.7,0.506,15.4,33.9,0.234,68.3,93,0.394,0.395,0.512,46.4,52,8.9,7.1,0.476,19.7,26.7,0.264,2021-22
Wake Forest,0.714,4.75,71.2,108.7,0.336,0.424,0.585,52.2,53.9,9,10.1,0.556,17.2,26.8,0.245,71.2,97,0.294,0.367,0.505,47.8,48.9,11,7.8,0.473,15.5,26.1,0.207,2021-22
Washington,0.531,6.72,70.4,99.1,0.347,0.329,0.503,46.2,41,11.6,10.5,0.464,14.5,29.3,0.244,70.4,101.5,0.302,0.341,0.532,53.8,54.3,7.4,9.5,0.499,18.8,35.5,0.217,2021-22
Washington State,0.595,5.97,67.4,105.6,0.298,0.442,0.517,51.4,45.8,9.5,12.3,0.479,14,33.4,0.222,67.4,95.9,0.303,0.349,0.507,48.6,48.1,7.2,9,0.469,17.8,29.5,0.223,2021-22
Weber State,0.636,-5.21,71.1,106.8,0.377,0.377,0.577,49,40,10.7,7.1,0.539,15,20.7,0.282,71.1,98.5,0.254,0.394,0.539,51,50.9,7.5,5,0.512,18.3,24.3,0.184,2021-22
West Virginia,0.485,10.74,68.5,100,0.361,0.337,0.511,47.2,44.4,11.4,13.1,0.468,15.7,29.9,0.262,68.5,100.7,0.341,0.369,0.54,52.8,53.2,10.1,7.5,0.506,19.4,33.6,0.243,2021-22
Western Carolina,0.344,-1.9,69.3,100.8,0.278,0.511,0.509,50,52.4,7,7.1,0.483,15.2,29.4,0.187,69.3,110.2,0.293,0.452,0.553,50,52.9,9,11.4,0.525,12.7,27.7,0.211,2021-22
Western Illinois,0.5,-5.51,72.4,105.9,0.302,0.409,0.532,51.7,41.1,8.5,6.3,0.502,13.5,28.7,0.214,72.4,105,0.304,0.331,0.562,48.3,44.7,7.3,7.8,0.525,15.4,21.7,0.236,2021-22
Western Kentucky,0.594,0.23,71,106.3,0.302,0.369,0.56,48.8,50.5,11.9,16.9,0.533,15.3,24.6,0.215,71,97.5,0.158,0.442,0.51,51.2,59.3,9.2,7.6,0.493,17.5,29.4,0.112,2021-22
Western Michigan,0.258,-2.3,66.5,97.1,0.251,0.454,0.522,47.9,43.7,7.9,6.5,0.496,17.9,26.6,0.176,66.5,111.5,0.303,0.401,0.553,52.1,48.9,10.6,12.4,0.526,13.1,31.1,0.213,2021-22
Wichita State,0.536,6,67.8,99.6,0.317,0.414,0.51,51.5,51.1,11,12.6,0.467,16.1,32.3,0.239,67.8,96.6,0.303,0.368,0.507,48.5,52.3,9.8,11.1,0.473,17.4,28.3,0.215,2021-22
William & Mary,0.156,-1.88,69.9,90.3,0.3,0.39,0.497,49.7,50.7,9.3,8.5,0.462,20.2,26.9,0.211,69.9,105.2,0.269,0.413,0.553,50.3,52.3,12.9,14,0.53,15.9,26.5,0.189,2021-22
Winthrop,0.719,-3.63,69.3,107.3,0.369,0.429,0.591,52,50.8,9.2,7.7,0.565,18.7,26.7,0.258,69.3,100.1,0.327,0.405,0.534,48,44.8,10.4,8.2,0.502,17.1,25.8,0.231,2021-22
Wisconsin NCAA,0.758,9.16,67,104.4,0.324,0.36,0.518,50.1,44.8,7.9,7.8,0.477,11.4,26,0.241,67,98.5,0.272,0.336,0.516,49.9,46.9,7,8.8,0.489,15.2,24.4,0.186,2021-22
Wofford,0.594,-1.55,65.6,110.2,0.287,0.485,0.581,53,52,10.5,5.2,0.551,15.7,28.3,0.218,65.6,100.6,0.285,0.461,0.561,47,49.3,9.3,8.6,0.531,18.3,21.5,0.211,2021-22
Wright State NCAA,0.611,-5.11,70,108.3,0.318,0.327,0.554,50.9,51.3,8.4,7.6,0.516,15.2,30.8,0.244,70,102.6,0.256,0.346,0.536,49.1,41.5,10.5,7.3,0.51,16.3,29.4,0.183,2021-22
Wyoming NCAA,0.735,3.6,66.3,107.8,0.359,0.431,0.565,52,44.7,5.8,5.4,0.531,15,25.5,0.26,66.3,97.3,0.241,0.382,0.501,48,42.3,7.7,8.5,0.472,14.1,24.2,0.174,2021-22
Xavier,0.639,8.34,69.1,105.8,0.353,0.356,0.541,51.9,55.9,10.7,11.4,0.509,14.6,29.3,0.246,69.1,98.8,0.259,0.366,0.516,48.1,48.6,9.7,9.2,0.483,15.9,26.1,0.193,2021-22
Yale NCAA,0.613,-1.34,70.3,101.8,0.321,0.359,0.537,50.2,46.7,8.8,9.3,0.501,16.1,25.7,0.236,70.3,98,0.318,0.414,0.518,49.8,48.5,10.3,9.5,0.486,16.5,26.3,0.219,2021-22
Youngstown State,0.559,-7.12,67.6,107.2,0.307,0.381,0.55,51.6,45.9,7.9,6.9,0.513,15.1,30.5,0.234,67.6,103,0.287,0.358,0.532,48.4,49.2,8.7,8.7,0.501,15.2,27.8,0.206,2021-22
Abilene Christian NCAA,0.828,-6.37,72,105.2,0.339,0.367,0.54,51.5,65.3,13.5,8.9,0.512,16.2,31.3,0.23,72,84,0.385,0.349,0.498,48.5,49.8,9.1,9.9,0.458,24.7,26.8,0.262,2020-21
Air Force,0.2,0.22,63.9,91.9,0.309,0.45,0.547,40.1,59,11.1,8,0.521,21.2,15.3,0.214,63.9,112.5,0.328,0.405,0.594,59.9,56.3,9.4,8.2,0.574,18.7,35.4,0.226,2020-21
Akron,0.652,-1.96,70.1,110.2,0.303,0.461,0.555,51.7,48.6,6.9,8.9,0.52,14.3,31,0.23,70.1,101.8,0.261,0.339,0.515,48.3,44.9,7.9,6.7,0.485,14.5,28.6,0.186,2020-21
Alabama NCAA,0.788,10.01,74.7,106.3,0.288,0.465,0.544,51.7,50.2,11.3,10.6,0.517,15.9,31.8,0.204,74.7,93.5,0.307,0.343,0.492,48.3,44,10.6,14.2,0.458,17.7,28.8,0.211,2020-21
Alabama A&M,0.4,-14.99,70.1,88.9,0.318,0.329,0.475,49.8,47.3,7.7,9.1,0.448,18.6,28.1,0.199,70.1,94.3,0.374,0.333,0.48,50.2,53.7,11.3,6.9,0.44,15.5,29.2,0.251,2020-21
Alabama State,0.222,-16.95,72.4,88.8,0.427,0.347,0.476,49.1,45.7,8.4,6.1,0.435,19.3,29.5,0.277,72.4,98.9,0.369,0.319,0.526,50.9,49.8,10.7,11.4,0.489,18,29.6,0.257,2020-21
Albany (NY),0.438,-5.22,69.7,99.6,0.341,0.343,0.541,47.9,47.3,8.8,5.1,0.505,16.4,22.3,0.247,69.7,98.6,0.293,0.369,0.54,52.1,48.8,8.1,11,0.513,18.6,27.3,0.202,2020-21
Alcorn State,0.316,-10.06,71.3,92.8,0.34,0.34,0.488,47.8,40.7,10.6,5,0.444,17.7,29.7,0.247,71.3,106.1,0.501,0.39,0.585,52.2,58,9.5,10.8,0.554,19.6,30.3,0.34,2020-21
American,0.4,-1.82,67.5,97.5,0.268,0.427,0.55,48.2,51.6,10.3,11.4,0.526,20.1,24.1,0.189,67.5,103.8,0.384,0.295,0.533,51.8,43.7,12,7.8,0.502,15.3,29.9,0.257,2020-21
Appalachian State NCAA,0.586,-5.72,66.8,103.1,0.34,0.437,0.52,50.8,49.9,11.6,10.4,0.478,14.9,29.8,0.252,66.8,94,0.239,0.377,0.507,49.2,50.2,8.3,13.1,0.479,18.1,26.8,0.17,2020-21
Arizona,0.654,8.18,68.4,109.2,0.418,0.314,0.548,55.1,60.4,8.5,11.2,0.505,14.7,34,0.304,68.4,99.3,0.324,0.367,0.525,44.9,46.3,7.8,7,0.492,16,24.1,0.229,2020-21
Arizona State,0.44,10.24,72.6,101.4,0.333,0.354,0.53,44.6,49.8,9.9,8.8,0.492,13.5,21.1,0.242,72.6,105.1,0.361,0.363,0.563,55.4,55.6,7.6,8.2,0.525,18.2,30,0.269,2020-21
Arkansas NCAA,0.781,7.18,75.1,108,0.327,0.339,0.544,52.6,49.8,10.4,13,0.508,14.7,31.3,0.242,75.1,93.9,0.29,0.377,0.508,47.4,48.3,8.7,8.5,0.479,17.8,26,0.199,2020-21
Arkansas State,0.458,-5.87,69.3,104.1,0.344,0.289,0.538,52.5,55.9,9.4,7.1,0.502,16.2,31.9,0.248,69.3,99.7,0.275,0.335,0.515,47.5,48.4,9.7,10.2,0.481,15.7,27.6,0.203,2020-21
Arkansas-Pine Bluff,0.16,-7.79,69.5,88.2,0.386,0.295,0.483,46.7,45.8,9.1,9.9,0.432,19.7,26.7,0.279,69.5,109.4,0.383,0.333,0.567,53.3,59.4,11.8,9.9,0.541,16,31.7,0.258,2020-21
Army,0.545,0.63,70,101.9,0.283,0.41,0.541,49.5,53.8,8.9,4.2,0.523,15.9,23.2,0.18,70,98.7,0.243,0.406,0.537,50.5,50.5,9.9,9.7,0.511,17.6,24.1,0.176,2020-21
Auburn,0.481,9.28,73.4,104.1,0.362,0.461,0.546,52,56.3,8.4,14.8,0.512,18.7,34.8,0.256,73.4,103.1,0.316,0.355,0.525,48,45.5,11.8,11.5,0.496,15.8,31.5,0.217,2020-21
Austin Peay,0.519,-8.22,69,106.6,0.286,0.354,0.546,52.1,48.7,9.7,5.9,0.513,17.8,36,0.215,69,100.4,0.327,0.371,0.561,47.9,45.4,11.2,6.7,0.538,20.6,29.7,0.221,2020-21
Ball State,0.435,-1.22,72,102.7,0.287,0.412,0.547,49.4,51.9,7.5,6.2,0.513,17.3,27.8,0.215,72,103.7,0.357,0.379,0.523,50.6,47.1,10,7.4,0.489,14.8,30.5,0.245,2020-21
Baylor NCAA,0.933,7.4,69.6,118.7,0.265,0.384,0.586,53.2,55.3,12.7,10.3,0.565,14,36.4,0.188,69.6,93.7,0.313,0.343,0.521,46.8,51.8,8,10.6,0.489,21.3,29.7,0.217,2020-21
Bellarmine,0.636,-5.56,65.8,112.9,0.285,0.315,0.594,50.8,55.6,11.1,8.3,0.567,15.1,26.8,0.216,65.8,100.6,0.278,0.474,0.563,49.2,56.8,8.1,7.5,0.539,20.4,26.5,0.196,2020-21
Belmont,0.867,-8.71,71.9,112.7,0.282,0.43,0.588,50.4,61.2,10.7,7.5,0.563,14.8,26.1,0.208,71.9,95.8,0.247,0.364,0.512,49.6,49.9,8.7,10.6,0.488,17.9,27.5,0.168,2020-21
Binghamton,0.222,-5.35,66.2,96.9,0.232,0.454,0.511,50.2,46.3,7.4,8.3,0.489,17.8,29.1,0.156,66.2,107.1,0.313,0.36,0.546,49.8,46.6,10,7.9,0.515,14.3,27.5,0.225,2020-21
Boise State,0.679,1.71,70.2,107.4,0.346,0.389,0.558,52.1,50.9,9.3,7.7,0.522,14.7,26.8,0.255,70.2,94.5,0.275,0.347,0.52,47.9,45.8,7.5,6.8,0.488,18.3,23.1,0.2,2020-21
Boston College,0.2,8.97,71.8,98.7,0.297,0.461,0.528,47.2,46,10,10,0.498,16.8,25,0.208,71.8,110,0.291,0.36,0.578,52.8,50.1,9.4,10.6,0.555,16.3,28.6,0.207,2020-21
Boston University,0.389,0.84,67.9,102.2,0.286,0.38,0.531,51.2,42.1,7.9,8.2,0.496,16.1,28.8,0.214,67.9,108.9,0.297,0.351,0.555,48.8,48.1,9.5,7.5,0.534,13.4,25.9,0.199,2020-21
Bowling Green State,0.538,-2.37,71.9,106.8,0.278,0.385,0.514,49.4,45.3,9.8,5.9,0.48,11.5,30.5,0.204,71.9,102.8,0.294,0.388,0.537,50.6,49.4,7.3,9.3,0.509,16.5,29.6,0.207,2020-21
Bradley,0.429,1.17,66.4,103.9,0.24,0.369,0.534,52.3,51.9,7.7,11.3,0.509,16,29.3,0.174,66.4,99.4,0.291,0.435,0.522,47.7,55.2,9.7,5.7,0.497,15.8,25.6,0.193,2020-21
Brigham Young NCAA,0.741,7.23,70.2,109.8,0.275,0.394,0.58,54.7,56.2,6.5,7.2,0.556,16.4,28.6,0.2,70.2,96.5,0.295,0.35,0.499,45.3,46.6,8.8,5.5,0.469,14.2,22.9,0.201,2020-21
Bryant,0.682,-7.27,77.2,108.5,0.344,0.398,0.577,50.8,52.7,8.9,8.6,0.541,17.3,28.2,0.262,77.2,97.9,0.27,0.385,0.498,49.2,53.4,9.4,9.8,0.467,15.3,30,0.191,2020-21
Bucknell,0.417,-5.36,73.1,102.5,0.363,0.391,0.561,47.6,46.3,8,8.1,0.52,16,19.8,0.277,73.1,105.8,0.292,0.324,0.534,52.4,55.1,9.6,9.1,0.496,13.7,28.3,0.224,2020-21
Buffalo,0.64,-1.58,74.2,108.6,0.293,0.312,0.537,55.1,51.8,10.6,9.6,0.514,15.5,37.2,0.197,74.2,97.3,0.283,0.329,0.503,44.9,49.2,8.6,6.6,0.462,15.3,26.8,0.216,2020-21
Butler,0.4,9.92,65.1,96.1,0.294,0.398,0.5,48.8,53.8,8.4,6,0.475,15.3,26,0.19,65.1,103.9,0.285,0.376,0.555,51.2,54.5,7.7,11,0.53,16.6,25.2,0.2,2020-21
Cal Poly,0.167,-1.56,68.5,89.3,0.295,0.373,0.492,46.4,57.4,9,9.3,0.454,18.2,22.1,0.213,68.5,102.9,0.359,0.336,0.535,53.6,51.8,10.5,9.2,0.499,16.2,28.8,0.254,2020-21
Cal State Bakersfield,0.577,-2.38,65.7,105.6,0.272,0.27,0.524,56.2,53.4,9.7,10.1,0.494,16.4,39.3,0.194,65.7,97.1,0.402,0.41,0.536,43.8,56.3,8.8,6.7,0.497,19.2,25.5,0.284,2020-21
Cal State Fullerton,0.375,-3.05,72.7,105.1,0.343,0.359,0.557,47.6,50.7,9.1,5,0.521,15.6,25,0.253,72.7,107.3,0.273,0.345,0.567,52.4,57.6,9.3,8.7,0.543,16.7,29,0.193,2020-21
Cal State Northridge,0.409,-1.97,70.9,101.1,0.308,0.38,0.523,47,52.3,8.9,6.1,0.488,14.7,25.3,0.224,70.9,109,0.331,0.4,0.575,53,54.7,8.4,6.3,0.54,16.4,28.8,0.252,2020-21
California,0.31,9.75,66.3,98.7,0.346,0.405,0.53,49.4,52.3,6.6,6.2,0.497,17.1,24.6,0.242,66.3,104.5,0.335,0.326,0.556,50.6,51.5,9.3,9,0.525,15.7,24.4,0.239,2020-21
California Baptist,0.565,-5.04,71.1,110.6,0.343,0.41,0.587,53.1,63.6,7.1,6.3,0.556,16.7,29,0.253,71.1,101.8,0.355,0.332,0.527,46.9,52.7,8.9,6.7,0.499,14.8,25.2,0.233,2020-21
Campbell,0.63,-7.34,65.8,106.4,0.339,0.369,0.586,46.2,55.4,9.2,6.7,0.565,16.7,20.7,0.23,65.8,102.1,0.305,0.379,0.548,53.8,43.7,8.5,6.7,0.517,18.8,30.2,0.22,2020-21
Canisius,0.538,-7.84,71.5,98.4,0.316,0.416,0.506,48.6,51.4,7.8,8.7,0.47,14.7,26.6,0.224,71.5,99.5,0.316,0.311,0.538,51.4,44.1,7.5,9.8,0.505,18,26.8,0.228,2020-21
Central Arkansas,0.208,-1.99,74,95.8,0.321,0.337,0.532,51.1,53.1,6.8,6.8,0.498,20.8,28.9,0.23,74,108.8,0.292,0.384,0.556,48.9,57.2,12.6,8.8,0.526,14.1,27.6,0.214,2020-21
Central Connecticut State,0.238,-6.27,72,95.2,0.283,0.376,0.516,44.7,51.7,9.6,7.1,0.485,17.6,23.4,0.199,72,107.5,0.304,0.393,0.563,55.3,57.3,10.7,8.1,0.539,17.4,32.6,0.212,2020-21
Central Florida,0.478,8.15,68,98.3,0.307,0.402,0.535,48.9,52.6,10,9.8,0.501,19,28.2,0.223,68,101.6,0.336,0.384,0.525,51.1,56.9,10.1,8.1,0.493,16.8,31.5,0.232,2020-21
Central Michigan,0.304,-4.19,74.9,102.5,0.369,0.326,0.53,48.3,39,10.9,7.6,0.499,15.6,27.7,0.248,74.9,106.5,0.269,0.397,0.555,51.7,52.5,8.4,9.2,0.524,16.2,30.5,0.203,2020-21
Charleston Southern,0.143,-6.22,70.2,92.7,0.302,0.428,0.509,49.5,45.4,8.7,10.3,0.474,20.4,28.2,0.216,70.2,104.5,0.339,0.372,0.533,50.5,49.5,12.5,11.7,0.507,16,30.5,0.224,2020-21
Charlotte,0.36,-2.43,64.6,95.9,0.384,0.35,0.532,49.4,51.7,8.2,8.6,0.489,18.3,22.2,0.281,64.6,100.8,0.235,0.386,0.541,50.6,54,10.5,10.7,0.512,16.8,24.4,0.18,2020-21
Chattanooga,0.692,-2.92,68.6,104.8,0.282,0.399,0.547,49.3,47.8,9.9,4.9,0.51,14.3,23.9,0.221,68.6,99.9,0.232,0.356,0.537,50.7,49.1,7.5,10.7,0.515,17,24.5,0.164,2020-21
Cincinnati,0.522,7.21,71.3,96.6,0.33,0.391,0.512,51.1,60.8,9.5,10.3,0.484,17.8,29.1,0.217,71.3,101.2,0.378,0.351,0.541,48.9,56.2,9.6,10.3,0.496,16.6,25.3,0.285,2020-21
Clemson NCAA,0.667,9.49,64.9,99.6,0.232,0.434,0.53,49.9,56.8,9.3,9.2,0.5,17.1,26.4,0.178,64.9,95,0.289,0.409,0.516,50.1,50.9,10,9.9,0.487,19,26.9,0.202,2020-21
Cleveland State NCAA,0.704,-4.82,67.6,102.6,0.325,0.343,0.532,49.4,52.9,10.1,7.8,0.505,16.2,30.5,0.218,67.6,103,0.376,0.424,0.532,50.6,52.5,9.3,7.6,0.49,17.1,32.2,0.275,2020-21
Coastal Carolina,0.692,-7.6,72.3,108.9,0.332,0.385,0.556,56.4,55.2,11.2,11.9,0.525,17.5,36.9,0.238,72.3,93.4,0.288,0.453,0.491,43.6,53.2,10.7,6.4,0.46,16.7,25.8,0.196,2020-21
Colgate NCAA,0.875,-1.9,72.7,116.3,0.309,0.365,0.591,53.2,57,9.6,8.5,0.566,13,27.6,0.224,72.7,95.1,0.263,0.362,0.487,46.8,42.7,7.5,7.4,0.458,14.3,25.1,0.18,2020-21
College of Charleston,0.474,-3.13,64.7,106.3,0.292,0.396,0.552,49.4,41.8,7.9,8.4,0.525,14,24.7,0.207,64.7,105.3,0.329,0.398,0.55,50.6,51.8,7.2,8.9,0.517,15.5,25.8,0.238,2020-21
